external_id,name,email,phone,plan,monthly_revenue,contract_length_months,signup_date,contract_end_date,last_activity_date,logins_last_30d,feature_usage_score,support_tickets_open,support_tickets_total,nps_score,billing_issues_count,country,industry,company_size,is_churned,churned_at
1680-VDCWW,Telco-1680-VDCWW,,,growth,19.8,12,2023-01-20,2025-01-09,2024-01-15,3,12.5,0,1,,0,US,Telecommunications,,false,
1066-JKSGK,Telco-1066-JKSGK,,,starter,20.15,,2023-12-16,,2023-12-16,1,12.5,0,0,,1,US,Telecommunications,,true,2024-01-15
3638-WEABW,Telco-3638-WEABW,,,enterprise,59.9,24,2019-04-11,2025-03-10,2024-01-15,8,50.0,0,2,,0,US,Telecommunications,,false,
6322-HRPFA,Telco-6322-HRPFA,,,starter,59.6,,2020-01-06,,2024-01-15,8,50.0,0,2,,0,US,Telecommunications,,false,
6865-JZNKO,Telco-6865-JZNKO,,,starter,55.3,,2021-07-29,,2024-01-15,8,37.5,0,2,,0,US,Telecommunications,,false,
6467-CHFZW,Telco-6467-CHFZW,,,starter,99.35,,2020-03-06,,2023-12-16,4,62.5,0,3,,2,US,Telecommunications,,true,2024-01-15
8665-UTDHZ,Telco-8665-UTDHZ,,,starter,30.2,,2023-12-16,,2023-12-16,2,12.5,0,0,,2,US,Telecommunications,,true,2024-01-15
5248-YGIJN,Telco-5248-YGIJN,,,enterprise,90.25,24,2018-02-15,2026-01-04,2024-01-15,8,100.0,0,3,,0,US,Telecommunications,,false,
8773-HHUOZ,Telco-8773-HHUOZ,,,starter,64.7,,2022-08-23,,2023-12-16,2,37.5,0,1,,1,US,Telecommunications,,true,2024-01-15
3841-NFECX,Telco-3841-NFECX,,,enterprise,96.35,24,2018-03-17,2024-02-14,2024-01-15,15,75.0,0,2,,0,US,Telecommunications,,false,
4929-XIHVW,Telco-4929-XIHVW,,,starter,95.5,,2023-11-16,,2024-01-15,15,50.0,0,0,,0,US,Telecommunications,,false,
6827-IEAUQ,Telco-6827-IEAUQ,,,growth,66.15,12,2021-10-27,2024-10-11,2024-01-15,8,62.5,0,1,,0,US,Telecommunications,,false,
7310-EGVHZ,Telco-7310-EGVHZ,,,starter,20.2,,2023-12-16,,2024-01-15,3,12.5,0,0,,0,US,Telecommunications,,false,
3413-BMNZE,Telco-3413-BMNZE,,,starter,45.25,,2023-12-16,,2024-01-15,8,12.5,0,0,,0,US,Telecommunications,,false,
6234-RAAPL,Telco-6234-RAAPL,,,enterprise,99.9,24,2018-02-15,2026-01-04,2024-01-15,15,75.0,0,3,,0,US,Telecommunications,,false,
6047-YHPVI,Telco-6047-YHPVI,,,starter,69.7,,2023-08-18,,2023-12-16,4,12.5,0,0,,2,US,Telecommunications,,true,2024-01-15
6572-ADKRS,Telco-6572-ADKRS,,,starter,74.8,,2020-04-05,,2024-01-15,15,25.0,0,3,,0,US,Telecommunications,,false,
5380-WJKOV,Telco-5380-WJKOV,,,starter,106.35,,2021-03-31,,2023-12-16,4,75.0,0,2,,2,US,Telecommunications,,true,2024-01-15
8168-UQWWF,Telco-8168-UQWWF,,,starter,97.85,,2023-02-19,,2023-12-16,4,62.5,0,0,,0,US,Telecommunications,,true,2024-01-15
8865-TNMNX,Telco-8865-TNMNX,,,growth,49.55,12,2023-03-21,2024-03-15,2024-01-15,8,25.0,0,0,,0,US,Telecommunications,,false,
9489-DEDVP,Telco-9489-DEDVP,,,enterprise,69.2,24,2018-04-16,2024-03-15,2024-01-15,8,62.5,0,5,,0,US,Telecommunications,,false,
9867-JCZSP,Telco-9867-JCZSP,,,growth,20.75,12,2022-08-23,2024-08-12,2024-01-15,3,12.5,0,1,,0,US,Telecommunications,,false,
4671-VJLCL,Telco-4671-VJLCL,,,enterprise,79.85,24,2018-11-12,2024-10-11,2024-01-15,8,87.5,0,2,,0,US,Telecommunications,,false,
4080-IIARD,Telco-4080-IIARD,,,starter,76.2,,2022-12-21,,2024-01-15,8,75.0,0,0,,1,US,Telecommunications,,false,
3714-NTNFO,Telco-3714-NTNFO,,,starter,84.5,,2020-01-06,,2024-01-15,15,37.5,0,4,,1,US,Telecommunications,,false,
5948-UJZLF,Telco-5948-UJZLF,,,starter,49.25,,2023-11-16,,2024-01-15,8,25.0,0,0,,0,US,Telecommunications,,false,
7760-OYPDY,Telco-7760-OYPDY,,,starter,80.65,,2023-11-16,,2023-12-16,4,25.0,0,0,,2,US,Telecommunications,,true,2024-01-15
7639-LIAYI,Telco-7639-LIAYI,,,enterprise,79.75,24,2019-10-08,2025-09-06,2024-01-15,8,75.0,0,2,,0,US,Telecommunications,,false,
2954-PIBKO,Telco-2954-PIBKO,,,enterprise,64.15,24,2018-05-16,2024-04-14,2024-01-15,8,62.5,0,2,,0,US,Telecommunications,,false,
8012-SOUDQ,Telco-8012-SOUDQ,,,starter,90.25,,2020-07-04,,2024-01-15,15,50.0,0,3,,1,US,Telecommunications,,false,
9420-LOJKX,Telco-9420-LOJKX,,,starter,99.1,,2022-10-22,,2023-12-16,4,62.5,0,1,,0,US,Telecommunications,,true,2024-01-15
6575-SUVOI,Telco-6575-SUVOI,,,starter,69.5,,2021-12-26,,2024-01-15,8,62.5,0,1,,0,US,Telecommunications,,false,
7495-OOKFY,Telco-7495-OOKFY,,,starter,80.65,,2023-05-20,,2023-12-16,4,37.5,0,0,,0,US,Telecommunications,,true,2024-01-15
4667-QONEA,Telco-4667-QONEA,,,growth,74.85,12,2019-02-10,2025-01-09,2024-01-15,8,75.0,0,2,,0,US,Telecommunications,,false,
1658-BYGOY,Telco-1658-BYGOY,,,starter,95.45,,2022-07-24,,2023-12-16,4,50.0,0,1,,2,US,Telecommunications,,true,2024-01-15
8769-KKTPH,Telco-8769-KKTPH,,,growth,99.65,12,2018-11-12,2024-10-11,2024-01-15,15,62.5,0,5,,0,US,Telecommunications,,false,
5067-XJQFU,Telco-5067-XJQFU,,,growth,108.45,12,2018-08-14,2024-07-13,2024-01-15,15,87.5,0,2,,1,US,Telecommunications,,false,
3957-SQXML,Telco-3957-SQXML,,,enterprise,24.95,24,2021-03-31,2025-03-10,2024-01-15,3,25.0,0,2,,0,US,Telecommunications,,false,
5954-BDFSG,Telco-5954-BDFSG,,,enterprise,107.5,24,2018-02-15,2026-01-04,2024-01-15,15,75.0,0,3,,0,US,Telecommunications,,false,
0434-CSFON,Telco-0434-CSFON,,,starter,100.5,,2020-03-06,,2024-01-15,15,62.5,0,3,,1,US,Telecommunications,,false,
1215-FIGMP,Telco-1215-FIGMP,,,starter,89.9,,2019-02-10,,2024-01-15,15,50.0,0,5,,0,US,Telecommunications,,false,
0526-SXDJP,Telco-0526-SXDJP,,,enterprise,42.1,24,2018-02-15,2026-01-04,2024-01-15,8,37.5,0,6,,0,US,Telecommunications,,false,
0557-ASKVU,Telco-0557-ASKVU,,,growth,54.4,12,2022-07-24,2024-07-13,2024-01-15,8,37.5,0,0,,0,US,Telecommunications,,false,
5698-BQJOH,Telco-5698-BQJOH,,,starter,94.4,,2023-04-20,,2023-12-16,4,50.0,0,0,,2,US,Telecommunications,,true,2024-01-15
5122-CYFXA,Telco-5122-CYFXA,,,starter,75.3,,2023-10-17,,2024-01-15,8,62.5,0,0,,1,US,Telecommunications,,false,
8627-ZYGSZ,Telco-8627-ZYGSZ,,,growth,78.9,12,2020-03-06,2024-02-14,2024-01-15,15,37.5,0,3,,1,US,Telecommunications,,false,
3410-YOQBQ,Telco-3410-YOQBQ,,,enterprise,79.2,24,2021-06-29,2025-06-08,2024-01-15,8,75.0,0,1,,0,US,Telecommunications,,false,
3170-NMYVV,Telco-3170-NMYVV,,,enterprise,20.15,24,2019-12-07,2025-11-05,2024-01-15,3,12.5,0,4,,0,US,Telecommunications,,false,
7410-OIEDU,Telco-7410-OIEDU,,,starter,79.85,,2023-03-21,,2024-01-15,15,37.5,0,0,,0,US,Telecommunications,,false,
2273-QCKXA,Telco-2273-QCKXA,,,starter,49.05,,2023-12-16,,2024-01-15,8,25.0,0,0,,0,US,Telecommunications,,false,
0731-EBJQB,Telco-0731-EBJQB,,,growth,20.4,12,2019-10-08,2024-09-11,2024-01-15,3,12.5,0,4,,1,US,Telecommunications,,false,
1891-QRQSA,Telco-1891-QRQSA,,,enterprise,111.6,24,2018-10-13,2024-09-11,2024-01-15,15,87.5,0,2,,0,US,Telecommunications,,false,
8028-PNXHQ,Telco-8028-PNXHQ,,,enterprise,24.25,24,2018-12-12,2024-11-10,2024-01-15,3,25.0,0,5,,0,US,Telecommunications,,false,
5630-AHZIL,Telco-5630-AHZIL,,,starter,64.5,,2023-10-17,,2024-01-15,8,50.0,0,0,,0,US,Telecommunications,,false,
2673-CXQEU,Telco-2673-CXQEU,,,growth,110.5,12,2019-06-10,2024-05-14,2024-01-15,15,87.5,0,4,,1,US,Telecommunications,,false,
6416-JNVRK,Telco-6416-JNVRK,,,growth,55.65,12,2020-04-05,2024-03-15,2024-01-15,8,25.0,0,3,,0,US,Telecommunications,,false,
5590-ZSKRV,Telco-5590-ZSKRV,,,starter,54.65,,2023-05-20,,2024-01-15,8,37.5,0,0,,0,US,Telecommunications,,false,
0191-ZHSKZ,Telco-0191-ZHSKZ,,,starter,74.75,,2021-07-29,,2024-01-15,8,62.5,0,2,,1,US,Telecommunications,,false,
3887-PBQAO,Telco-3887-PBQAO,,,growth,25.9,12,2020-05-05,2024-04-14,2024-01-15,3,25.0,0,3,,0,US,Telecommunications,,false,
5919-TMRGD,Telco-5919-TMRGD,,,starter,79.35,,2023-12-16,,2023-12-16,4,25.0,0,0,,2,US,Telecommunications,,true,2024-01-15
8108-UXRQN,Telco-8108-UXRQN,,,starter,50.55,,2023-02-19,,2024-01-15,8,37.5,0,0,,1,US,Telecommunications,,false,
9191-MYQKX,Telco-9191-MYQKX,,,starter,75.15,,2023-06-19,,2023-12-16,4,25.0,0,0,,0,US,Telecommunications,,true,2024-01-15
9919-YLNNG,Telco-9919-YLNNG,,,starter,103.8,,2020-08-03,,2024-01-15,15,75.0,0,1,,0,US,Telecommunications,,false,
0318-ZOPWS,Telco-0318-ZOPWS,,,enterprise,20.15,24,2020-01-06,2025-12-05,2024-01-15,3,12.5,0,4,,0,US,Telecommunications,,false,
4445-ZJNMU,Telco-4445-ZJNMU,,,starter,99.3,,2023-04-20,,2024-01-15,15,62.5,0,0,,0,US,Telecommunications,,false,
4808-YNLEU,Telco-4808-YNLEU,,,growth,62.15,12,2021-03-01,2024-02-14,2024-01-15,8,37.5,0,2,,0,US,Telecommunications,,false,
1862-QRWPE,Telco-1862-QRWPE,,,enterprise,20.65,24,2020-02-05,2026-01-04,2024-01-15,3,12.5,0,4,,0,US,Telecommunications,,false,
2796-NNUFI,Telco-2796-NNUFI,,,enterprise,19.95,24,2020-04-05,2024-03-15,2024-01-15,3,12.5,0,3,,0,US,Telecommunications,,false,
3016-KSVCP,Telco-3016-KSVCP,,,starter,33.75,,2021-08-28,,2024-01-15,8,12.5,0,2,,0,US,Telecommunications,,false,
4767-HZZHQ,Telco-4767-HZZHQ,,,starter,82.05,,2021-07-29,,2024-01-15,15,37.5,0,2,,0,US,Telecommunications,,false,
2424-WVHPL,Telco-2424-WVHPL,,,starter,74.7,,2023-12-16,,2024-01-15,15,25.0,0,0,,1,US,Telecommunications,,false,
7233-PAHHL,Telco-7233-PAHHL,,,enterprise,84.0,24,2018-08-14,2024-07-13,2024-01-15,8,87.5,0,2,,0,US,Telecommunications,,false,
6067-NGCEU,Telco-6067-NGCEU,,,starter,111.05,,2018-09-13,,2024-01-15,15,87.5,0,5,,0,US,Telecommunications,,false,
9848-JQJTX,Telco-9848-JQJTX,,,enterprise,100.9,24,2018-02-15,2026-01-04,2024-01-15,15,75.0,0,6,,0,US,Telecommunications,,false,
8637-XJIVR,Telco-8637-XJIVR,,,starter,78.95,,2023-01-20,,2023-12-16,4,37.5,0,1,,2,US,Telecommunications,,true,2024-01-15
9803-FTJCG,Telco-9803-FTJCG,,,growth,66.85,12,2018-03-17,2024-02-14,2024-01-15,8,62.5,0,2,,0,US,Telecommunications,,false,
0278-YXOOG,Telco-0278-YXOOG,,,starter,21.05,,2023-08-18,,2023-12-16,1,12.5,0,0,,1,US,Telecommunications,,true,2024-01-15
3212-KXOCR,Telco-3212-KXOCR,,,enterprise,21.0,24,2019-10-08,2025-09-06,2024-01-15,3,12.5,0,4,,0,US,Telecommunications,,false,
4598-XLKNJ,Telco-4598-XLKNJ,,,starter,98.5,,2021-12-26,,2023-12-16,4,62.5,0,2,,2,US,Telecommunications,,true,2024-01-15
6380-ARCEH,Telco-6380-ARCEH,,,starter,20.2,,2023-12-16,,2024-01-15,3,12.5,0,0,,0,US,Telecommunications,,false,
3679-XASPY,Telco-3679-XASPY,,,starter,19.45,,2023-12-16,,2024-01-15,3,12.5,0,0,,1,US,Telecommunications,,false,
7123-WQUHX,Telco-7123-WQUHX,,,growth,95.0,12,2020-12-01,2024-11-10,2024-01-15,15,62.5,0,1,,0,US,Telecommunications,,false,
5386-THSLQ,Telco-5386-THSLQ,,,growth,45.55,12,2018-08-14,2024-07-13,2024-01-15,8,37.5,0,5,,0,US,Telecommunications,,false,
3192-NQECA,Telco-3192-NQECA,,,enterprise,110.0,24,2018-06-15,2020-06-04,2023-12-16,4,87.5,0,2,,0,US,Telecommunications,,true,2024-01-15
6180-YBIQI,Telco-6180-YBIQI,,,starter,24.3,,2023-08-18,,2024-01-15,8,0.0,0,0,,0,US,Telecommunications,,false,
6728-DKUCO,Telco-6728-DKUCO,,,growth,104.15,12,2018-02-15,2025-01-09,2024-01-15,15,75.0,0,6,,1,US,Telecommunications,,false,
9750-BOOHV,Telco-9750-BOOHV,,,growth,30.15,12,2021-05-30,2024-05-14,2024-01-15,8,12.5,0,2,,0,US,Telecommunications,,false,
8597-CWYHH,Telco-8597-CWYHH,,,growth,94.35,12,2020-07-04,2024-06-13,2024-01-15,15,50.0,0,3,,0,US,Telecommunications,,false,
2848-YXSMW,Telco-2848-YXSMW,,,enterprise,19.4,24,2018-02-15,2026-01-04,2024-01-15,3,12.5,0,6,,0,US,Telecommunications,,false,
0486-HECZI,Telco-0486-HECZI,,,starter,96.75,,2019-07-10,,2023-12-16,4,62.5,0,4,,2,US,Telecommunications,,true,2024-01-15
4549-ZDQYY,Telco-4549-ZDQYY,,,growth,57.95,12,2019-10-08,2024-09-11,2024-01-15,8,50.0,0,2,,0,US,Telecommunications,,false,
5712-AHQNN,Telco-5712-AHQNN,,,starter,91.65,,2020-07-04,,2024-01-15,15,50.0,0,3,,1,US,Telecommunications,,false,
4846-WHAFZ,Telco-4846-WHAFZ,,,starter,76.5,,2020-12-31,,2023-12-16,4,25.0,0,3,,2,US,Telecommunications,,true,2024-01-15
5256-SKJGO,Telco-5256-SKJGO,,,enterprise,54.6,24,2018-10-13,2024-09-11,2024-01-15,8,50.0,0,2,,1,US,Telecommunications,,false,
3071-VBYPO,Telco-3071-VBYPO,,,starter,89.85,,2023-10-17,,2024-01-15,15,50.0,0,0,,1,US,Telecommunications,,false,
9560-BBZXK,Telco-9560-BBZXK,,,enterprise,31.05,24,2021-01-30,2025-01-09,2024-01-15,8,12.5,0,3,,0,US,Telecommunications,,false,
5299-RULOA,Telco-5299-RULOA,,,starter,100.25,,2023-03-21,,2023-12-16,4,62.5,0,0,,2,US,Telecommunications,,true,2024-01-15
8402-OOOHJ,Telco-8402-OOOHJ,,,enterprise,20.65,24,2020-09-02,2024-08-12,2024-01-15,3,12.5,0,3,,0,US,Telecommunications,,false,
9445-ZUEQE,Telco-9445-ZUEQE,,,starter,85.2,,2021-10-27,,2024-01-15,15,50.0,0,1,,0,US,Telecommunications,,false,
1091-SOZGA,Telco-1091-SOZGA,,,growth,99.8,12,2019-06-10,2024-05-14,2024-01-15,15,62.5,0,4,,0,US,Telecommunications,,false,
2928-HLDBA,Telco-2928-HLDBA,,,starter,20.7,,2023-07-19,,2024-01-15,3,12.5,0,0,,0,US,Telecommunications,,false,
0404-SWRVG,Telco-0404-SWRVG,,,starter,74.4,,2023-10-17,,2023-12-16,4,25.0,0,0,,2,US,Telecommunications,,true,2024-01-15
6497-TILVL,Telco-6497-TILVL,,,starter,50.7,,2023-06-19,,2024-01-15,8,25.0,0,0,,0,US,Telecommunications,,false,
7219-TLZHO,Telco-7219-TLZHO,,,starter,20.85,,2023-09-17,,2024-01-15,3,12.5,0,0,,0,US,Telecommunications,,false,
4622-YNKIJ,Telco-4622-YNKIJ,,,enterprise,88.95,24,2021-04-30,2025-04-09,2024-01-15,15,50.0,0,1,,1,US,Telecommunications,,false,
4412-YLTKF,Telco-4412-YLTKF,,,starter,78.05,,2021-10-27,,2023-12-16,4,37.5,0,2,,2,US,Telecommunications,,true,2024-01-15
6734-PSBAW,Telco-6734-PSBAW,,,enterprise,23.55,24,2018-02-15,2026-01-04,2024-01-15,3,25.0,0,6,,0,US,Telecommunications,,false,
3930-ZGWVE,Telco-3930-ZGWVE,,,starter,19.75,,2023-12-16,,2024-01-15,3,12.5,0,0,,0,US,Telecommunications,,false,
2639-UGMAZ,Telco-2639-UGMAZ,,,growth,56.45,12,2018-03-17,2024-02-14,2024-01-15,8,50.0,0,5,,1,US,Telecommunications,,false,
2876-GZYZC,Telco-2876-GZYZC,,,starter,85.95,,2022-12-21,,2024-01-15,15,37.5,0,1,,1,US,Telecommunications,,false,
6207-WIOLX,Telco-6207-WIOLX,,,starter,58.6,,2021-12-26,,2023-12-16,2,62.5,0,2,,0,US,Telecommunications,,true,2024-01-15
8587-XYZSF,Telco-8587-XYZSF,,,enterprise,50.55,24,2018-07-15,2024-06-13,2024-01-15,8,25.0,0,2,,0,US,Telecommunications,,false,
3091-FYHKI,Telco-3091-FYHKI,,,starter,35.45,,2023-12-16,,2023-12-16,2,12.5,0,0,,2,US,Telecommunications,,true,2024-01-15
2372-HWUHI,Telco-2372-HWUHI,,,starter,44.35,,2023-11-16,,2023-12-16,2,12.5,0,0,,2,US,Telecommunications,,true,2024-01-15
7799-LGRDP,Telco-7799-LGRDP,,,enterprise,25.7,24,2020-07-04,2024-06-13,2024-01-15,3,25.0,0,3,,0,US,Telecommunications,,false,
7850-VWJUU,Telco-7850-VWJUU,,,starter,75.0,,2022-02-24,,2024-01-15,15,25.0,0,1,,0,US,Telecommunications,,false,
3774-VBNXY,Telco-3774-VBNXY,,,enterprise,20.2,24,2018-10-13,2024-09-11,2024-01-15,3,12.5,0,5,,0,US,Telecommunications,,false,
6217-KDYWC,Telco-6217-KDYWC,,,enterprise,19.6,24,2019-05-11,2025-04-09,2024-01-15,3,12.5,0,4,,0,US,Telecommunications,,false,
0390-DCFDQ,Telco-0390-DCFDQ,,,starter,70.45,,2023-12-16,,2023-12-16,4,12.5,0,0,,1,US,Telecommunications,,true,2024-01-15
3146-MSEGF,Telco-3146-MSEGF,,,enterprise,88.05,24,2018-02-15,2026-01-04,2024-01-15,8,100.0,0,3,,0,US,Telecommunications,,false,
4080-OGPJL,Telco-4080-OGPJL,,,starter,71.15,,2023-05-20,,2023-12-16,2,62.5,0,0,,2,US,Telecommunications,,true,2024-01-15
1095-WGNGG,Telco-1095-WGNGG,,,enterprise,101.05,24,2019-01-11,2024-12-10,2024-01-15,15,62.5,0,5,,0,US,Telecommunications,,false,
2636-SJDOU,Telco-2636-SJDOU,,,growth,84.3,12,2018-10-13,2024-09-11,2024-01-15,15,50.0,0,5,,0,US,Telecommunications,,false,
1131-QQZEB,Telco-1131-QQZEB,,,enterprise,23.95,24,2018-03-17,2024-02-14,2024-01-15,3,25.0,0,5,,0,US,Telecommunications,,false,
5716-EZXZN,Telco-5716-EZXZN,,,enterprise,99.05,24,2018-09-13,2024-08-12,2024-01-15,15,75.0,0,2,,0,US,Telecommunications,,false,
6837-BJYDQ,Telco-6837-BJYDQ,,,growth,19.6,12,2023-10-17,2024-10-11,2024-01-15,3,12.5,0,0,,0,US,Telecommunications,,false,
2135-RXIHG,Telco-2135-RXIHG,,,starter,45.65,,2023-12-16,,2023-12-16,2,12.5,0,0,,2,US,Telecommunications,,true,2024-01-15
6440-DKQGE,Telco-6440-DKQGE,,,growth,64.5,12,2021-07-29,2024-07-13,2024-01-15,8,50.0,0,2,,0,US,Telecommunications,,false,
3466-BYAVD,Telco-3466-BYAVD,,,starter,69.5,,2022-10-22,,2024-01-15,8,62.5,0,0,,0,US,Telecommunications,,false,
3780-YVMFA,Telco-3780-YVMFA,,,starter,68.55,,2023-05-20,,2024-01-15,8,50.0,0,0,,1,US,Telecommunications,,false,
3874-EQOEP,Telco-3874-EQOEP,,,starter,95.0,,2023-06-19,,2023-12-16,4,50.0,0,0,,1,US,Telecommunications,,true,2024-01-15
1679-JRFBR,Telco-1679-JRFBR,,,growth,108.15,12,2018-04-16,2024-03-15,2024-01-15,15,87.5,0,5,,0,US,Telecommunications,,false,
9073-ZZIAY,Telco-9073-ZZIAY,,,enterprise,86.1,24,2018-12-12,2024-11-10,2024-01-15,8,87.5,0,2,,1,US,Telecommunications,,false,
3077-RSNTJ,Telco-3077-RSNTJ,,,starter,19.7,,2023-07-19,,2024-01-15,3,12.5,0,0,,0,US,Telecommunications,,false,
6551-GNYDG,Telco-6551-GNYDG,,,starter,80.9,,2022-11-21,,2024-01-15,15,25.0,0,1,,0,US,Telecommunications,,false,
9167-APMXZ,Telco-9167-APMXZ,,,starter,84.15,,2022-03-26,,2024-01-15,15,37.5,0,1,,0,US,Telecommunications,,false,
2749-CTKAJ,Telco-2749-CTKAJ,,,growth,20.15,12,2022-03-26,2024-03-15,2024-01-15,3,12.5,0,1,,0,US,Telecommunications,,false,
6371-NZYEG,Telco-6371-NZYEG,,,enterprise,64.25,24,2022-09-22,2024-09-11,2024-01-15,8,50.0,0,1,,0,US,Telecommunications,,false,
7554-NEWDD,Telco-7554-NEWDD,,,enterprise,25.7,24,2023-03-21,2025-03-10,2024-01-15,3,25.0,0,0,,0,US,Telecommunications,,false,
8992-VONJD,Telco-8992-VONJD,,,starter,56.0,,2022-12-21,,2024-01-15,8,37.5,0,1,,1,US,Telecommunications,,false,
0867-MKZVY,Telco-0867-MKZVY,,,starter,82.4,,2022-05-25,,2023-12-16,4,37.5,0,1,,2,US,Telecommunications,,true,2024-01-15
4482-EWFMI,Telco-4482-EWFMI,,,starter,69.7,,2023-11-16,,2024-01-15,15,12.5,0,0,,1,US,Telecommunications,,false,
4648-YPBTM,Telco-4648-YPBTM,,,enterprise,73.9,24,2019-09-08,2025-08-07,2024-01-15,8,75.0,0,2,,0,US,Telecommunications,,false,
2907-ILJBN,Telco-2907-ILJBN,,,growth,20.6,12,2023-02-19,2024-02-14,2024-01-15,3,12.5,0,0,,0,US,Telecommunications,,false,
6345-FZOQH,Telco-6345-FZOQH,,,enterprise,19.9,24,2018-05-16,2024-04-14,2024-01-15,3,12.5,0,5,,0,US,Telecommunications,,false,
3376-BMGFE,Telco-3376-BMGFE,,,starter,70.9,,2023-09-17,,2023-12-16,4,12.5,0,0,,0,US,Telecommunications,,true,2024-01-15
5997-OPVFA,Telco-5997-OPVFA,,,enterprise,89.05,24,2018-02-15,2026-01-04,2024-01-15,8,100.0,0,3,,0,US,Telecommunications,,false,
3445-HXXGF,Telco-3445-HXXGF,,,starter,45.3,,2019-04-11,,2023-12-16,2,37.5,0,4,,2,US,Telecommunications,,true,2024-01-15
1159-WFSGR,Telco-1159-WFSGR,,,starter,20.4,,2022-09-22,,2024-01-15,3,12.5,0,1,,1,US,Telecommunications,,false,
7654-YWJUF,Telco-7654-YWJUF,,,growth,84.25,12,2020-07-04,2024-06-13,2024-01-15,15,50.0,0,1,,0,US,Telecommunications,,false,
1875-QIVME,Telco-1875-QIVME,,,starter,104.4,,2023-11-16,,2023-12-16,4,75.0,0,0,,2,US,Telecommunications,,true,2024-01-15
6727-IOTLZ,Telco-6727-IOTLZ,,,enterprise,81.95,24,2022-11-21,2024-11-10,2024-01-15,8,75.0,0,0,,0,US,Telecommunications,,false,
0691-JVSYA,Telco-0691-JVSYA,,,growth,94.85,12,2019-09-08,2020-09-02,2023-12-16,4,50.0,0,4,,0,US,Telecommunications,,true,2024-01-15
5918-VUKWP,Telco-5918-VUKWP,,,growth,20.55,12,2021-05-30,2024-05-14,2024-01-15,3,12.5,0,2,,0,US,Telecommunications,,false,
