external_id,name,email,phone,plan,monthly_revenue,contract_length_months,signup_date,contract_end_date,last_activity_date,logins_last_30d,feature_usage_score,support_tickets_open,support_tickets_total,nps_score,billing_issues_count,country,industry,company_size,is_churned,churned_at
EXT-2012,"Calhoun, Schmidt and Brown",yorkcasey@leonard.biz,793-699-0916,starter,86.41,,2022-05-14,,2026-06-07,16,77.6,0,1,61,0,CA,SaaS,small,true,2024-02-11
EXT-2013,Santiago LLC,josephanderson@evans.com,6794911838,growth,393.19,12,2023-03-08,2024-03-01,2026-06-11,26,77.7,0,0,69,0,FR,PropTech,large,false,
EXT-2014,Ibarra-Suarez,justin78@turner.net,4846124118,starter,191.33,,2024-02-15,,2026-06-01,23,65.8,0,1,29,0,BR,LegalTech,small,false,
EXT-2015,Jacobs-Robbins,gracefarrell@freeman.com,+1-264-300-5242x7868,starter,157.86,,2023-11-03,,2026-06-01,23,66.8,0,1,36,0,US,LegalTech,small,false,
EXT-2016,Landry Ltd,amydavenport@tran.com,4535315869,growth,833.75,24,2024-11-29,2026-11-01,2026-06-05,22,61.2,0,1,46,0,CA,MarTech,small,false,
EXT-2017,Cherry and Sons,vjohnson@patton-jenkins.com,521-260-7337x543,enterprise,3032.66,,2024-12-12,,2026-06-10,13,82.9,0,2,65,1,GB,MarTech,large,true,2026-01-23
EXT-2018,"Lee, Murphy and Lin",michael86@zavala.com,329-840-1965x569,growth,608.62,24,2024-12-18,2026-12-01,2026-06-06,15,68.1,0,0,50,0,BR,LegalTech,large,false,
EXT-2019,"Lee, Williams and Graham",michaeljones@mccall.com,001-448-646-5648x236,free,0.00,,2024-08-05,,2026-02-17,5,29.2,1,2,,1,CA,HealthTech,large,true,2026-02-15
EXT-2020,Kelley-Smith,jason99@morris.net,221.248.9513x4332,enterprise,3104.96,,2023-09-20,,2026-05-13,4,14.7,3,7,15,3,FR,EdTech,small,true,2026-02-03
EXT-2021,Riggs PLC,gibsonolivia@lee.com,(501)363-2870,starter,113.19,,2024-06-27,,2026-05-20,22,66.4,0,1,66,0,IN,PropTech,mid,false,
EXT-2022,Anderson-Marshall,stephanie79@mcclain.info,(677)943-4873,enterprise,3422.01,12,2022-08-16,2023-08-01,2026-06-05,22,64.6,1,1,40,0,FR,E-commerce,large,false,
EXT-2023,Reeves and Sons,matthew81@hernandez.com,001-831-266-5876x036,starter,96.08,,2023-08-16,,2026-05-30,29,68.6,0,1,73,0,BR,SaaS,mid,false,
EXT-2024,"James, Smith and Bell",acastaneda@adkins.com,234.867.0656x2729,free,0.00,,2024-08-14,,2026-06-04,15,50.0,0,0,48,2,SG,MarTech,mid,false,
EXT-2025,"Elliott, Johnson and Day",michellewhite@gray-lewis.com,264-564-1708x05310,starter,146.37,,2022-07-09,,2026-01-25,6,50.3,1,6,-10,1,IN,SaaS,large,true,2025-04-18
EXT-2026,Combs PLC,johnwells@elliott.info,001-645-829-9124x190,starter,52.72,,2023-02-28,,2026-06-10,26,75.1,2,3,35,0,IN,EdTech,mid,false,
EXT-2027,David-Gonzalez,curtisbarton@burke.com,(786)951-8506x716,growth,874.81,12,2022-12-22,2023-12-01,2026-04-22,8,8.5,6,10,-30,2,AU,PropTech,small,false,
EXT-2028,"Hernandez, Thompson and Boyd",christina87@graham-simon.com,431-947-3799x65075,starter,177.00,,2024-11-09,,2026-04-22,5,17.2,0,2,-9,2,AU,FinTech,small,true,2025-07-25
EXT-2029,Kelly LLC,joshua94@smith.biz,783.977.7014x3634,growth,393.06,12,2022-04-30,2023-04-01,2026-06-03,13,50.1,2,2,57,0,AU,HealthTech,mid,false,
EXT-2030,"Schmidt, Coleman and Reese",michael74@king-martinez.com,618-523-3749x89413,starter,97.37,,2022-01-21,,2026-06-04,19,47.3,2,2,27,1,AU,InsurTech,small,false,
EXT-2031,White-Smith,joshuamccann@carter.info,209-647-7752,starter,55.16,,2022-11-24,,2026-06-09,25,79.8,2,5,89,0,FR,SaaS,large,false,
EXT-2032,Wilson-Jones,ojones@brown.com,831-986-9993,starter,178.41,,2023-06-11,,2026-06-03,11,70.2,0,0,,0,GB,MarTech,small,false,
EXT-2033,Evans-Chapman,ntorres@lynch.com,001-933-641-2328x120,starter,56.11,,2023-07-20,,2026-06-01,17,39.1,0,1,65,0,US,PropTech,small,false,
EXT-2034,Hall Ltd,jacqueline71@hall.org,+1-636-918-3242x1024,enterprise,2389.92,,2022-01-11,,2026-05-31,14,85.0,0,1,61,0,BR,HRTech,large,true,2024-01-30
EXT-2035,Harrison LLC,gbender@snyder.biz,001-459-940-1399x049,starter,157.78,,2025-02-12,,2026-06-03,18,77.2,0,0,,0,AU,LegalTech,large,false,
EXT-2036,"Pearson, Moon and White",fwalters@harrison.com,712-356-7468x07154,enterprise,4581.33,12,2023-01-02,2024-01-01,2026-06-07,15,55.7,0,0,33,0,IN,FinTech,small,false,
EXT-2037,Hancock-Bryan,sandovalamy@brown-stone.org,001-577-403-4824x771,free,0.00,,2023-02-20,,2026-04-28,3,42.9,3,8,0,3,GB,PropTech,large,true,2025-05-22
EXT-2038,Pierce-Tran,walkermaureen@murray.com,448.346.7737x8263,enterprise,4293.34,12,2023-08-05,2024-08-01,2026-06-04,21,71.4,0,1,6,0,DE,LegalTech,mid,false,
EXT-2039,Barton-Dickerson,sarah84@campbell.org,001-872-978-7558,starter,73.43,,2022-01-27,,2026-06-09,19,100.0,0,1,52,0,US,E-commerce,small,false,
EXT-2040,Kane-Pollard,ashleyhall@williams-garner.biz,(227)402-8951x7187,starter,131.93,,2025-01-08,,2026-04-14,4,20.5,5,5,4,1,NL,InsurTech,large,false,
EXT-2041,Pitts-Booker,harrisontanya@hanson-sanders.com,386-357-8091x34316,starter,183.42,,2023-12-14,,2026-06-06,17,85.7,0,2,67,0,AU,HealthTech,small,false,
EXT-2042,Jackson-Evans,williamslaura@howard-jordan.com,569.922.2196x93792,free,0.00,,2024-09-05,,2026-03-12,6,48.8,3,8,5,1,US,E-commerce,large,true,2026-02-02
EXT-2043,"King, Scott and Smith",rsantana@moore.org,664-674-3671x3695,growth,824.59,,2023-12-04,,2026-06-11,21,30.0,0,2,69,0,NL,HealthTech,small,false,
EXT-2044,Spence Ltd,khill@osborne.info,239-753-3942x1047,growth,760.97,12,2024-12-03,2025-12-01,2026-06-05,18,83.9,0,0,57,0,DE,HRTech,large,false,
EXT-2045,"Anderson, Browning and Murphy",ithompson@walter.com,(547)845-1712,growth,692.27,24,2022-06-22,2024-06-01,2026-06-01,23,79.8,0,2,50,1,SG,PropTech,small,false,
EXT-2046,"Diaz, Gibbs and Smith",gibsonemily@baker.com,337-909-8593,growth,901.44,24,2023-04-30,2025-04-01,2026-06-02,20,71.0,0,0,52,0,IN,FinTech,small,false,
EXT-2047,"Turner, Ortiz and Taylor",torrestravis@young.com,(275)786-9261x7964,starter,195.42,,2023-08-24,,2026-06-08,18,75.4,0,0,17,0,AU,MarTech,small,false,
EXT-2048,Ramos and Sons,cory58@howard.com,513.590.0532x931,enterprise,4451.63,,2024-12-18,,2026-06-06,22,82.3,0,1,73,0,BR,PropTech,large,false,
EXT-2049,Murphy and Sons,ramireztracey@fernandez.com,+1-302-305-3950x2402,starter,50.13,,2022-02-15,,2026-06-07,20,73.1,0,0,68,0,AU,FinTech,large,false,
EXT-2050,West-Cox,hayesjeffrey@williams.net,470-307-6617x7115,enterprise,4997.98,24,2022-02-06,2024-02-01,2026-05-24,3,30.6,3,5,-34,3,GB,PropTech,small,true,2025-04-14
EXT-2051,Hill Ltd,oscar98@chavez-jacobs.com,001-318-736-7365x766,starter,72.03,,2023-01-03,,2026-06-08,19,52.0,1,1,89,0,CA,SaaS,mid,false,
EXT-2052,Edwards-Scott,gloriawells@decker.biz,352-880-9885,starter,66.84,,2022-03-03,,2026-04-08,2,55.3,2,6,6,2,GB,FinTech,small,true,2022-12-18
EXT-2053,Russo-Pugh,uparrish@schmitt.com,(319)683-2731x585,growth,684.64,,2024-08-09,,2026-06-11,15,80.8,0,1,31,1,AU,LegalTech,mid,false,
EXT-2054,"Perez, Patterson and Hoffman",lynchdiane@adams.com,850-922-9612x01836,starter,78.32,,2022-01-31,,2026-04-11,6,32.9,2,5,22,2,NL,SaaS,mid,true,2023-01-17
EXT-2055,Moore-Collins,kimberly99@ware.com,001-390-714-7679x764,starter,141.94,,2022-08-28,,2026-06-09,18,58.7,0,0,77,0,GB,InsurTech,large,false,
EXT-2056,Rodriguez-Gregory,trose@walker.com,2349324451,starter,64.49,,2024-05-21,,2026-06-05,20,62.9,0,2,61,1,US,MarTech,mid,false,
EXT-2057,"Jordan, Anderson and Patel",vincentwhitaker@jones-hensley.com,(707)415-9696x64160,starter,73.91,,2023-02-19,,2026-06-10,30,49.2,0,1,66,0,BR,E-commerce,large,false,
EXT-2058,"Stevens, Norris and Cox",prichard@chapman-warren.biz,453-552-1818x8355,growth,317.57,,2022-09-06,,2026-06-09,17,80.3,0,2,67,1,GB,InsurTech,small,false,
EXT-2059,Thomas and Sons,carriewolf@jones.info,001-699-279-9552x717,free,0.00,,2023-07-28,,2026-06-02,5,20.0,4,10,39,4,FR,EdTech,mid,false,
EXT-2060,Romero-Collins,xjohnson@jones-lin.com,+1-998-467-9807x935,growth,742.96,,2024-03-08,,2026-03-22,2,42.5,1,4,29,0,AU,SaaS,small,true,2025-02-10
EXT-2061,Hayes LLC,wagnergerald@zimmerman.net,392.855.4665x90515,free,0.00,,2023-09-10,,2026-06-04,18,67.5,2,2,98,0,CA,E-commerce,large,false,
EXT-2062,King-York,mathewaguilar@rangel.biz,(391)848-6528,starter,107.73,,2022-08-07,,2026-06-06,14,84.4,3,4,71,0,SG,SaaS,mid,false,
EXT-2063,"Cox, Cox and White",matthewmiranda@perez.com,441-888-8059,starter,58.50,,2024-06-20,,2026-06-03,22,77.5,0,0,,1,GB,MarTech,mid,false,
EXT-2064,Martin Ltd,jenniferwilliams@rhodes-young.info,+1-947-638-3473x597,starter,146.98,,2024-11-20,,2026-06-07,31,59.1,0,0,79,0,GB,EdTech,large,false,
EXT-2065,Shaw-Barnes,lisasolis@salas.info,(881)381-4124x782,starter,144.64,,2022-09-22,,2026-05-29,30,58.8,0,1,51,0,FR,PropTech,small,false,
EXT-2066,Velasquez LLC,perryrandy@young-vang.com,905.415.2204,enterprise,3270.17,,2023-06-27,,2026-05-31,23,91.5,0,2,67,0,DE,EdTech,mid,false,
EXT-2067,"Harrison, Gilbert and Bullock",scottmary@bentley.com,341.903.6971,enterprise,4161.91,,2022-09-07,,2026-06-09,16,39.4,0,1,30,0,NL,FinTech,large,false,
EXT-2068,"Herrera, Chen and Andrews",kellysmith@allen-butler.com,651.288.8880x67065,starter,75.45,,2023-02-18,,2026-06-11,18,70.7,1,2,66,0,AU,E-commerce,large,false,
EXT-2069,Kramer-Cooper,ingramjill@anderson-bell.com,+1-227-772-2170x4303,enterprise,4995.90,12,2022-10-06,2023-10-01,2026-06-05,18,78.7,0,0,26,0,NL,InsurTech,large,false,
EXT-2070,Robertson-Hays,wking@lee.com,615-366-7652x775,enterprise,4981.88,,2024-02-12,,2026-06-11,13,41.1,0,1,79,0,NL,FinTech,small,false,
EXT-2071,"Coleman, Jordan and Carney",amymorris@murphy.com,296.327.5705x964,starter,75.32,,2022-09-18,,2026-06-09,19,78.7,0,0,45,0,NL,PropTech,large,false,
EXT-2072,"Walsh, Cox and Owen",stephaniethomas@gregory.com,001-455-769-0927x557,starter,77.33,,2022-07-19,,2026-04-11,4,38.7,1,7,38,2,DE,LegalTech,large,true,2024-03-22
EXT-2073,Edwards-Ramirez,johnsonjacob@hughes.com,001-973-394-7312x172,enterprise,4309.52,12,2024-01-06,2025-01-01,2026-06-08,20,93.1,0,2,31,0,GB,HealthTech,small,false,
EXT-2074,"Ponce, Downs and Contreras",piercekelly@york-joseph.com,(783)913-2370x589,starter,56.58,,2022-06-06,,2026-06-02,17,75.5,0,0,60,0,FR,E-commerce,small,false,
EXT-2075,"Anderson, Henson and Jones",ukey@fox-hammond.org,425-417-7852,starter,167.03,,2023-12-17,,2026-06-02,24,71.1,1,2,50,0,SG,HealthTech,large,false,
EXT-2076,Shaw-Oneill,holmeskevin@morris.com,(384)414-3842x498,starter,196.00,,2024-05-01,,2026-05-29,16,46.4,2,3,95,0,SG,E-commerce,small,false,
EXT-2077,"David, Moore and Hopkins",megan90@miller.org,839-669-0784x473,free,0.00,,2024-06-09,,2026-05-28,23,67.1,0,0,49,0,DE,PropTech,large,false,
EXT-2078,Jones-Brown,dperry@peterson.com,001-355-662-5881x537,growth,743.89,,2022-02-28,,2026-05-13,27,73.5,0,0,50,0,BR,MarTech,small,false,
EXT-2079,Wright-Davis,sonia96@estes.com,001-953-227-8774,starter,59.70,,2023-07-05,,2026-06-09,26,80.0,0,0,48,1,US,SaaS,small,false,
EXT-2080,Landry PLC,nlevy@gomez.info,580-716-2456x5060,starter,72.03,,2022-06-03,,2026-05-31,25,69.7,0,1,49,0,SG,InsurTech,large,false,
EXT-2081,"Roberts, Hughes and Cole",marcia99@anderson.biz,(258)452-3986x800,growth,726.23,24,2023-01-17,2025-01-01,2026-06-10,13,64.1,0,0,47,0,GB,E-commerce,large,false,
EXT-2082,"Cook, Wells and Bryant",markaustin@long.com,001-258-788-7947,growth,629.79,12,2023-09-17,2024-09-01,2026-05-06,13,69.0,0,0,41,0,SG,PropTech,large,false,
EXT-2083,Nunez-Whitney,laura09@baker-rios.org,001-430-597-2896,free,0.00,,2023-07-23,,2026-06-12,24,72.3,0,2,82,0,AU,LegalTech,mid,false,
EXT-2084,Armstrong Ltd,leescott@hernandez-vaughn.biz,997.702.8385x78652,enterprise,4947.66,,2024-04-27,,2026-02-27,3,34.1,7,10,-7,1,BR,HealthTech,small,true,2025-11-04
EXT-2085,"Gomez, Ingram and Le",chelsea33@grant-walker.com,001-843-775-7584x419,growth,686.79,24,2023-01-06,2025-01-01,2026-06-01,21,67.4,0,1,60,0,AU,FinTech,small,false,
EXT-2086,Roberts LLC,reedscott@burgess-lewis.net,584-221-9933x083,enterprise,4625.68,12,2022-05-26,2023-05-01,2026-06-11,12,61.3,0,0,,0,FR,PropTech,mid,false,
EXT-2087,Gutierrez Ltd,xgarcia@smith.com,(877)434-5401x93802,free,0.00,,2023-09-28,,2026-03-06,7,1.0,2,3,,3,US,FinTech,small,true,2024-10-20
EXT-2088,Osborn Group,vlopez@mcdowell-smith.org,+1-515-347-8872x874,enterprise,3648.40,12,2024-08-11,2025-08-01,2026-06-04,29,79.7,0,1,,0,DE,HRTech,mid,false,
EXT-2089,Martin-Stevens,jennifer05@bradley-todd.com,+1-566-285-1612x275,starter,59.69,,2023-04-25,,2026-05-19,4,7.9,3,8,-17,3,CA,MarTech,mid,true,2023-10-26
EXT-2090,Reyes-Griffin,stephanie49@berry.com,6177426841,starter,115.16,,2024-03-08,,2026-06-08,26,54.2,1,1,47,0,DE,HealthTech,small,false,
EXT-2091,"Walker, Bernard and Mendoza",madkins@perry-dunn.info,001-583-439-1878x519,growth,498.37,,2024-06-08,,2026-03-15,3,52.2,0,6,-33,2,BR,PropTech,large,true,2024-12-27
EXT-2092,Murphy PLC,nwilson@aguilar.com,628.267.9087x406,starter,90.92,,2023-04-24,,2026-03-04,4,9.2,3,6,-13,2,FR,PropTech,large,true,2024-04-30
EXT-2093,"Robinson, Jones and Henderson",weaverbrian@andersen.com,762-326-5676x6182,free,0.00,,2025-01-06,,2026-03-09,1,38.8,1,6,23,2,GB,HealthTech,large,true,2025-06-24
EXT-2094,Haney Group,jessicawalker@avila.info,+1-886-286-3375x2431,enterprise,2426.01,12,2022-10-27,2023-10-01,2026-06-08,24,50.7,0,0,,0,SG,HealthTech,mid,false,
EXT-2095,Harris Inc,griffinemily@sanchez.biz,738.530.2843x959,growth,834.33,,2022-11-13,,2026-02-20,3,12.4,0,1,33,1,GB,EdTech,small,true,2025-11-03
EXT-2096,Walter-Odom,roberthill@fry.biz,+1-470-656-8566,starter,90.39,,2024-06-05,,2026-06-08,29,92.6,0,1,75,0,NL,SaaS,mid,false,
EXT-2097,White-Medina,melissaturner@thomas.biz,(588)226-3435x17518,growth,588.39,,2023-06-03,,2026-06-06,20,72.5,0,2,43,0,BR,HealthTech,large,false,
EXT-2098,Bennett-Jacobs,russojacob@ramsey.com,603-831-7393x6385,growth,340.19,12,2025-01-26,2026-01-01,2026-06-07,26,74.5,0,0,85,0,NL,SaaS,small,false,
EXT-2099,Ferguson-Howard,michael77@lang.info,001-853-655-6093x204,enterprise,3093.73,24,2022-12-30,2024-12-01,2026-06-02,23,55.9,0,1,43,0,SG,PropTech,large,false,
EXT-2100,Gonzalez and Sons,phudson@pierce-harding.com,277-272-5228x728,starter,129.58,,2022-04-12,,2026-05-11,5,32.4,1,3,-47,2,DE,E-commerce,mid,true,2022-08-10
EXT-2101,Landry Ltd,duranrobert@hall.net,250.299.7700x886,enterprise,1705.52,24,2022-10-22,2024-10-01,2026-06-06,17,68.0,0,0,56,0,IN,MarTech,large,false,
EXT-2102,"Bowen, Nichols and Mitchell",ldrake@hull.com,739.884.5461,starter,194.81,,2022-07-10,,2025-12-21,5,28.5,2,6,-31,3,SG,HealthTech,small,false,
EXT-2103,Cunningham-Branch,kevinclayton@valdez.com,366-968-7002,free,0.00,,2022-12-05,,2026-02-19,2,45.7,4,11,18,1,CA,E-commerce,small,false,
EXT-2104,Newman-Rivera,jacobsonsamantha@lewis.org,440.814.8902x5039,growth,361.25,12,2022-12-14,2023-12-01,2026-04-22,4,34.3,0,5,38,0,SG,HealthTech,mid,true,2025-11-12
EXT-2105,Evans PLC,ashleyatkinson@mosley.com,001-818-750-1631x599,starter,111.79,,2023-09-26,,2026-05-27,21,89.1,0,0,65,0,AU,MarTech,small,false,
EXT-2106,Walters Group,jperez@reynolds-frazier.biz,494-831-1426,growth,990.03,12,2023-06-19,2024-06-01,2026-06-12,17,78.2,0,2,,0,SG,FinTech,small,false,
EXT-2107,Ward-Davis,sean41@miller.info,+1-388-761-0158,enterprise,2365.43,24,2023-09-01,2025-09-01,2026-06-02,19,82.4,1,1,90,0,NL,E-commerce,mid,false,
EXT-2108,Smith-Gutierrez,hardyanita@armstrong.biz,(824)644-7212,growth,366.85,,2024-12-13,,2026-06-10,20,100.0,0,0,52,0,BR,LegalTech,small,false,
EXT-2109,Evans-Patton,johnathan37@jensen.com,(559)965-7569x2459,growth,699.10,12,2022-03-21,2023-03-01,2026-06-12,24,63.8,0,3,59,0,DE,InsurTech,mid,false,
EXT-2110,Thompson-Sanders,kelly79@nguyen.biz,(619)339-8280x737,growth,454.22,,2022-01-18,,2026-06-05,24,61.2,1,1,27,0,SG,E-commerce,mid,false,
EXT-2111,Chambers-Taylor,john26@jones-ewing.info,001-368-386-8058,starter,99.75,,2022-02-12,,2026-05-29,20,44.9,1,1,62,0,NL,InsurTech,large,false,
EXT-2112,Sandoval LLC,deborahwilliams@byrd.biz,501-943-8889,enterprise,4779.72,24,2022-03-06,2024-03-01,2026-05-09,20,69.2,2,2,,0,NL,EdTech,large,false,
EXT-2113,Myers-Barton,michaeljohnson@phillips.com,001-925-745-7387x571,enterprise,2028.48,,2023-05-01,,2026-06-09,17,68.8,0,0,44,0,BR,InsurTech,small,true,2026-02-23
EXT-2114,Evans Ltd,johnsonmatthew@byrd.com,228.525.8673x62266,growth,561.69,,2023-12-31,,2026-06-06,24,96.4,0,2,57,0,DE,FinTech,mid,false,
EXT-2115,Vargas-Price,jamiegoodwin@ray.com,(853)371-4785x969,growth,821.71,24,2023-01-05,2025-01-01,2026-06-05,21,40.3,0,0,71,0,IN,E-commerce,mid,false,
EXT-2116,Bell-Ellis,lisamccarthy@sellers-lawrence.com,813-841-2528x66929,starter,73.90,,2022-08-20,,2026-05-20,22,68.0,0,1,23,1,SG,HRTech,large,true,2025-11-19
EXT-2117,Tucker PLC,angelaburns@lopez.org,9508723688,growth,461.79,24,2024-06-28,2026-06-01,2026-06-01,18,48.3,0,2,53,0,AU,InsurTech,large,false,
EXT-2118,"Vasquez, Mckinney and Wallace",christopherjohnson@carter.com,+1-342-679-7881,growth,920.43,24,2024-08-05,2026-08-01,2026-06-04,18,82.8,1,5,64,1,FR,FinTech,mid,false,
EXT-2119,"Morrow, Richardson and Carson",wolfscott@fritz.com,807-445-1713x3959,enterprise,2880.49,24,2023-04-18,2025-04-01,2026-06-05,26,84.6,3,3,88,0,SG,HealthTech,small,false,
EXT-2120,"Taylor, Clark and Clark",hudsonamanda@ryan.com,001-448-512-6042,growth,649.69,24,2024-08-29,2026-08-01,2026-06-01,17,57.1,0,1,26,0,NL,HRTech,large,false,
EXT-2121,Dawson and Sons,kburns@adams.com,(884)557-7590x1751,starter,180.36,,2022-09-29,,2026-06-10,27,63.3,0,0,89,0,BR,FinTech,small,false,
EXT-2122,Summers-Simpson,maria58@anderson.com,8175012770,starter,170.12,,2022-10-18,,2026-05-06,7,24.5,1,5,41,0,AU,EdTech,small,false,
EXT-2123,"Blankenship, Khan and Turner",clarence54@watson.com,9643361103,growth,793.69,24,2022-04-18,2024-04-01,2026-05-26,15,67.2,0,0,73,0,AU,InsurTech,mid,false,
EXT-2124,Wheeler PLC,ssmith@montoya-mcneil.biz,001-427-813-6111x554,growth,666.57,,2022-07-22,,2026-06-11,25,73.0,1,1,21,0,SG,PropTech,mid,false,
EXT-2125,May Ltd,caseyelliott@santos.com,(597)631-1219x65652,free,0.00,,2022-04-27,,2026-01-14,8,25.8,4,5,9,0,CA,PropTech,large,false,
EXT-2126,"Miller, Tran and Greene",kimberly04@holmes.com,001-264-703-7613x791,free,0.00,,2024-09-05,,2026-06-12,19,67.7,1,2,43,0,CA,HRTech,mid,false,
EXT-2127,Anderson-Valencia,rdiaz@farmer.com,001-610-843-0068,free,0.00,,2022-02-16,,2026-03-06,5,41.0,3,9,78,4,SG,E-commerce,mid,true,2025-04-06
EXT-2128,Miles-Miller,joshuacollins@mccall.com,(291)646-3031x6179,growth,385.70,24,2023-03-16,2025-03-01,2026-06-03,18,60.0,0,1,48,0,FR,HealthTech,large,false,
EXT-2129,"Harmon, Yang and Wilson",jacquelinemartin@mills-logan.com,(352)641-0564,enterprise,1879.08,12,2024-03-28,2025-03-01,2026-02-20,1,5.0,1,4,,0,FR,HRTech,mid,true,2026-03-06
EXT-2130,"Proctor, Burton and Crawford",brian92@moore-ayala.org,+1-213-880-0030x7562,enterprise,1526.19,12,2023-12-07,2024-12-01,2026-01-03,6,46.1,0,7,0,2,IN,HRTech,small,false,
EXT-2131,Morris Group,joseph19@wilson-nunez.com,(738)306-1744,starter,50.68,,2022-06-30,,2026-06-03,22,55.8,0,1,61,0,BR,FinTech,large,false,
EXT-2132,"Bryant, Wood and Carter",jodi37@vargas-snyder.com,001-883-620-6038x505,free,0.00,,2022-10-23,,2026-03-31,5,35.2,1,5,32,4,GB,HealthTech,large,true,2023-10-02
EXT-2133,Harris and Sons,dvasquez@dawson.com,486.857.1918,starter,140.56,,2023-11-30,,2026-05-21,23,97.4,0,2,91,0,SG,FinTech,small,false,
EXT-2134,Vargas Inc,ibates@carter.biz,001-355-474-3132x912,free,0.00,,2024-05-26,,2026-05-26,21,60.6,0,1,44,0,SG,E-commerce,large,false,
EXT-2135,Owens-Russell,tami37@ford-phelps.com,(749)803-5213,enterprise,3608.46,,2024-01-11,,2026-06-11,18,87.4,0,0,54,0,AU,E-commerce,small,false,
EXT-2136,"Williams, Evans and Wilkins",anthonysullivan@hawkins-pierce.com,612.310.0323x651,starter,146.27,,2022-01-30,,2026-06-10,23,85.4,1,1,66,1,SG,InsurTech,mid,false,
EXT-2137,Osborn and Sons,flamb@martinez-dunlap.com,(796)567-0662,growth,310.38,,2023-09-07,,2026-06-09,17,90.4,0,1,100,0,BR,MarTech,large,false,
EXT-2138,Hill Group,austinharvey@holland.biz,+1-570-214-6263,starter,117.04,,2024-05-11,,2026-06-08,19,85.8,0,0,100,0,FR,E-commerce,large,false,
EXT-2139,Casey-Howard,kcooper@morris.org,404.307.8593,growth,531.03,24,2024-04-01,2026-04-01,2026-06-02,33,76.6,0,0,60,0,US,PropTech,small,false,
EXT-2140,Sandoval LLC,gallagherstacie@bradford.com,(439)555-9059,growth,432.29,12,2022-12-15,2023-12-01,2026-06-08,23,69.3,0,0,64,0,FR,HealthTech,small,false,
EXT-2141,Weaver-Thompson,davisjesse@smith.com,793-325-2500x29218,starter,74.95,,2023-06-23,,2026-05-12,20,61.6,0,0,63,0,BR,HealthTech,large,false,
EXT-2142,Bush-Bates,rogersmarcus@oconnor.info,+1-452-289-5392x6442,starter,196.33,,2022-05-20,,2026-06-11,16,46.8,0,0,50,0,BR,SaaS,large,false,
EXT-2143,"Fry, Myers and Gamble",whitelucas@walker.com,713-655-2157x04331,enterprise,2400.66,12,2024-07-31,2025-07-01,2026-06-01,14,96.6,0,3,49,1,US,SaaS,large,false,
EXT-2144,Le Inc,akim@wilkerson.biz,(286)717-9327x104,starter,188.77,,2022-04-04,,2026-06-05,15,61.7,0,0,35,0,AU,PropTech,large,false,
EXT-2145,Lynn-Jones,pamelamartin@payne.com,+1-597-506-2962x015,growth,547.36,24,2024-11-25,2026-11-01,2026-05-30,20,62.3,0,0,85,0,CA,SaaS,small,false,
EXT-2146,Terry-Bowen,donna43@williams.net,520.450.6149x7310,starter,192.12,,2022-10-07,,2026-06-10,25,74.3,1,2,47,0,CA,LegalTech,small,false,
